"	部门","	员工编码","	员工姓名","	打卡时间","	当前班次","	该班次的上下班时间","	当前楼层","	门禁名称","	状态","	地点"
"	人力资源部","	21033887","	张三","	2022-06-21 08:47:11","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-06-20 18:13:11","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-20 08:49:42","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-17 18:05:02","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负4楼东侧入"
"	人力资源部","	21033887","	张三","	2022-06-17 10:31:02","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	副楼2层东侧入"
"	人力资源部","	21033887","	张三","	2022-06-17 10:29:32","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	副楼3层东侧入"
"	人力资源部","	21033887","	张三","	2022-06-17 09:16:16","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	副楼3层东侧入"
"	人力资源部","	21033887","	张三","	2022-06-17 08:38:46","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负4楼东侧入"
"	人力资源部","	21033887","	张三","	2022-06-16 18:46:16","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-16 08:35:05","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-15 19:42:59","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-06-15 14:12:57","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-06-15 13:42:08","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	"
